nama_produk,harga_produk,penjual,kota_toko,banyaknya_terjual,rating_produk,jabodetabek
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,13000,Lidigeli,Kab. Garut,250,4.8,Luar Jabodetabek
Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,17000,Central Seblak Nusantara,Tangerang Selatan,2000,4.9,Jabodetabek
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,100,4.9,Jabodetabek
"Kylafood Seblak Cup Instan, Halal",11500,Brother Meat Shop,Depok,60,5.0,Jabodetabek
KERUPUK SEBLAK MENTAH ANEKA WARNA,11500,jajanangarut19,Jakarta Selatan,250,4.9,Jabodetabek
SEBLAK INSTANT TERMURAH,3999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8,Jabodetabek
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,100,4.9,Jabodetabek
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,Jabodetabek
Seblak pedas kerupuk pedas kiloan 1 kg,35000,RIKI STORE 97,Kab. Bogor,100,4.8,Jabodetabek
seblak instant sajodo snak,19000,hikmah berkah jaya,Jakarta Barat,750,4.8,Jabodetabek
SEBLAK INSTANT TERMURAH,3999,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8,Jabodetabek
"Seblak Rafael, Seblak Coet Instan Halal",25000,Brother Meat Shop,Depok,100,4.9,Jabodetabek
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,2000,4.8,Jabodetabek
seblak instant sajodo snak,19000,hikmah berkah jaya,Jakarta Barat,750,4.8,Jabodetabek
Seblak instan yoi enak dan kenyang,7500,SeblakYoi,Bekasi,250,5.0,Jabodetabek
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,Jakarta Barat,30,5.0,Jabodetabek
"siomay kering bandung 500 gr. untuk baso aci, seblak ,mie ayam dll",14999,aghniya,Tangerang Selatan,750,4.9,Jabodetabek
Kerupuk Seblak / Seblak / Kering Pedas /,10000,Anggris store,Kab. Bogor,50,4.8,Jabodetabek
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,70,4.9,Luar Jabodetabek
Makanan Kering Kerupuk Seblak Pedas 100 gram,5000,BLIBET,Jakarta Barat,8,5.0,Jabodetabek
